receptor,count_selected,mean_300,top50_count,top50_mean,top20_count,top20_mean,top20_var,top10_count,top10_mean,top10_var,top05_count,top05_mean,top05_var,top03_count,top03_mean
5ht1b,300,-12.457000,150,-12.700667,60,-12.988333,0.094031,30,-13.220000,0.078267,15,-13.440000,0.050400,9,-13.555556
braf,300,-11.936333,150,-12.150667,60,-12.415000,0.079275,30,-12.646667,0.047156,15,-12.826667,0.023289,9,-12.922222
fa7,300,-9.870667,150,-10.056667,60,-10.281667,0.056497,30,-10.446667,0.054489,15,-10.620000,0.046933,9,-10.733333
jak2,300,-11.410667,150,-11.627333,60,-11.885000,0.088275,30,-12.090000,0.088900,15,-12.293333,0.089956,9,-12.444444
parp1,300,-12.559667,150,-12.793333,60,-13.086667,0.091489,30,-13.280000,0.100933,15,-13.440000,0.149067,9,-13.577778
